Ciclo,Cultivo,Calendario,Año_EVA,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Transitorio,Acelga,Cosechas,2022,5.55,5.66,15.04,6.17,13.72,8.36,11.51,7.04,6.77,2.82,9.55,7.82
Transitorio,Acelga,Siembras,2022,9.37,6.98,12.84,7.74,8.08,4.42,8.97,6.52,11.27,11.78,8.79,3.25
Permanente,Achiote,Cosechas,2022,8.34,5.81,6.54,6.46,5.28,7.98,11.78,12.66,7.24,6.02,7.93,13.96
Permanente,Achiote,Siembras,2022,12.52,16.04,16.68,12.43,8.71,10.48,6.74,3.75,3.32,3.32,3.01,3.01
Transitorio,Achira,Cosechas,2022,0.4,9.72,4.95,14.29,14.3,14.97,14.6,5.49,5.21,5.31,5.02,5.71
Transitorio,Achira,Siembras,2022,1.2,21.24,19.52,19.9,9.07,8.96,0.03,0.76,4.67,5.1,4.99,4.55
Permanente,Agraz,Cosechas,2022,0,0,0,50,0,0,0,0,0,50,0,0
Permanente,Agraz,Siembras,2022,5.27,10.69,16.18,18.76,11.82,7.27,5.44,3.76,5.92,7.94,4.5,2.46
Permanente,Aguacate,Cosechas,2022,7.68,4.88,8.96,11.19,9.57,9.96,8.77,5.04,7.24,8.4,11.93,6.39
Permanente,Aguacate,Siembras,2022,5.47,5.45,19.17,18.6,13.38,5.79,4.38,5.73,10.35,7.42,3.48,0.78
Transitorio,Ahuyama,Cosechas,2022,10.48,5.79,3.93,2.29,5.57,6.48,11.65,11.28,5.43,9.45,8.1,19.57
Transitorio,Ahuyama,Siembras,2022,2.65,5.89,12.47,14.45,12.04,2.41,10.16,15.67,14.17,7.54,1.9,0.66
Transitorio,Ají,Cosechas,2022,3.42,0.75,0.68,0.96,19.73,13.91,8.83,10.72,7.33,17.24,11.42,5.01
Transitorio,Ají,Siembras,2022,1.49,19.6,15.81,13.01,12.69,3.85,14.69,8.6,5.24,3.17,1.37,0.49
Transitorio,Ajo,Cosechas,2022,5.44,6.4,9.11,14.02,3.77,2.36,5.53,23.15,12.42,2.46,8.95,6.4
Transitorio,Ajo,Siembras,2022,2.84,5.1,26.62,5.21,6.28,6.71,9.82,3.99,8.5,10.45,13.05,1.44
Transitorio,Ajonjolí,Cosechas,2022,10.63,2.77,0.06,0,5.11,5.63,2.65,3.55,3.44,0,30.55,35.62
Transitorio,Ajonjolí,Siembras,2022,0,4.84,4.17,5.48,4.34,0,34.01,29.14,8.71,6,3.3,0
Permanente,Albahaca,Cosechas,2022,0.11,0,0,2.64,41.65,14.04,2.04,2.64,4.44,6.81,9.55,16.08
Permanente,Albahaca,Siembras,2022,2.44,26.82,9.06,2.1,2.44,5.26,13.29,4.74,8.78,10.45,6.27,8.36
Transitorio,Algodón,Cosechas,2022,15.13,20.32,10.49,1.29,0.77,8.48,19.39,9.16,4.37,4.56,4.54,1.51
Transitorio,Algodón,Siembras,2022,3.84,14.7,13.9,8.91,3.13,0,1.66,17.68,23.29,12.89,0,0
Permanente,Anón,Cosechas,2022,6.15,6.59,6.42,5.48,5.82,8.58,7.97,10.21,7.93,7.84,9.52,17.5
Permanente,Anón,Siembras,2022,7.14,8.75,14.35,16.03,13.43,6.99,6.95,5.84,6.29,6.85,4.98,2.41
Transitorio,Apio,Cosechas,2022,10.49,10.1,11.22,7.92,5.64,7.42,6.32,10.44,4.89,9.31,6.08,10.18
Transitorio,Apio,Siembras,2022,8.43,7.96,10.35,11.54,6.61,9.34,7.27,7.85,8.25,8.08,7.62,6.7
Transitorio,Arracacha,Cosechas,2022,4.01,8.01,19.3,12.25,6.71,4.87,7.44,9.17,7.09,8.15,6.8,6.2
Transitorio,Arracacha,Siembras,2022,5.54,8.64,13.91,19.17,18.17,10.25,3.62,4.3,5.3,4.87,5.81,0.41
Transitorio,Arroz,Cosechas,2022,4.94,1.95,0.56,0.14,2.26,3.57,14.62,25,20.53,13.16,5.74,7.52
Transitorio,Arroz,Siembras,2022,2.16,3.37,14.82,27.28,20.84,11.03,3.79,9.5,5.45,1.12,0.35,0.3
Transitorio,Arveja,Cosechas,2022,7.68,8.31,7.51,7.76,3.07,8.47,10.08,11.69,8.57,6.15,8.87,11.84
Transitorio,Arveja,Siembras,2022,6.05,8.42,14.68,11.93,6.68,5.08,8.06,8.94,9.51,9.18,6.56,4.91
Permanente,Asaí,Cosechas,2022,0,50,0,0,0,29.2,20.8,0,0,0,0,0
Permanente,Asaí,Siembras,2022,0,0,0,0,0,0,0,0,0,100,0,0
Transitorio,Avena,Cosechas,2022,1.1,7.35,18.4,1.4,1.12,23.87,14.41,8.29,1.71,2.73,3.81,15.82
Transitorio,Avena,Siembras,2022,1.29,1.86,35.14,11.32,3.39,1.63,15.05,3.48,3.54,12.79,10.51,0
Permanente,Badea,Cosechas,2022,7.39,9.43,15.1,9.02,7.85,1.61,1.64,9.19,8.75,13.15,12.68,4.19
